# pinky_proximal_joint ring_proximal_joint middle_proximal_joint index_proximal_joint thumb_proximal_pitch_joint thumb_proximal_yaw_joint
1.2260414361953735 1.072117805480957 0.8806146383285522 0.7930360436439514 0.1492566168308258 1.1598395109176636
1.2299599170684814 1.073958659172058 0.8818956732749939 0.7933147549629211 0.14811850488185882 1.1769562482833862
1.2326341247558594 1.0756145191192625 0.883362123966217 0.793549382686615 0.14651856541633607 1.1929065799713134
1.2348481636047364 1.0768830356597898 0.8843712167739868 0.7937337827682496 0.14556976234912872 1.2059663705825805
1.2366495784759521 1.0778848073959348 0.8851533736228943 0.7938804445266724 0.14481047551631926 1.2166351694107056
1.2381034657669068 1.0786829346084592 0.8857747598838805 0.7939975355148315 0.14420273312568663 1.2253375306320191
1.2381907117614745 1.077912787887573 0.8859584438285827 0.7936831549072265 0.14371169931602476 1.2324118339691164
1.2384902486999512 1.0772934757019041 0.8861138667648315 0.793418239376068 0.14328814607391355 1.2378912944534304
1.2397275407949828 1.0769696158047484 0.8862488862661743 0.7931927886177063 0.1429011757098007 1.2416392865927126
1.241208683636963 1.0768554625412596 0.8863537309001465 0.7930189606800842 0.1425918735998764 1.2443523409486696
1.2428147881723877 1.077127108375293 0.8864336250170533 0.7928836176598205 0.14234375837945099 1.2463078500843752
1.2442909073430248 1.0775715902646874 0.886386246517854 0.7927764757318603 0.14214456882876678 1.2477118016892041
1.2455552014985043 1.0779860174815252 0.8861016639356272 0.792700883058175 0.14205248102984844 1.2491479827255698
1.2470322206241575 1.0787331943639433 0.8857824212936128 0.7926678628186103 0.1421234682833514 1.2522755871844842
1.248417898386533 1.0798064140421801 0.8855729465983363 0.7926406598456476 0.14210213725847892 1.2548799761639082
1.2496239299534282 1.0809428427968544 0.8854159526270272 0.7926648526483991 0.1420771688626837 1.2569290120209093
1.2505995078848617 1.081923606741756 0.8852926939520551 0.7927475904698545 0.14205075386417956 1.258499313895292
1.2513359820021643 1.0827444813635585 0.8852167248561631 0.7928883938213487 0.1420188036223495 1.2596360361610945
1.2519073514281476 1.0834099071809957 0.8851597404348572 0.7930214332119861 0.14199287984055234 1.2604551486996887
